Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields
77,P,SLCTBS,[Sample] Fog Linen Chambray Towel - Beige Stripe,,"The perfect beach towel: thin, lightweight and highly absorbent. Crafted by Fog Linen in Japan using soft Lithuanian linen, each towel rolls up for compact stowaway. Dry off after a refreshing dip in the ocean and stretch out on it for a sun bath. The thinness ensures a quick dry so you can have it rolled back up in your bag without soaking your belongings. Measures 75 x 145 cm/29.5 x 57 in 100% Linen",0,0,0,49,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,05/08/2015,"Category Name: Bath, Category Path: Bath|Category Name: Shop All, Category Path: Shop All","Product Image File: foglinenbeigestripetowel1b.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/foglinenbeigestripetowel1b.jpg|Product Image File: foglinenbeigestripetowel2b.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/foglinenbeigestripetowel2b.jpg|Product Image File: foglinenbeigestripetowel3b.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/foglinenbeigestripetowel3b.jpg",,,,New,/fog-linen-chambray-towel-beige-stripe/,,,
80,P,OTL,[Sample] Orbit Terrarium - Large,,"This strikingly beautiful terrarium will make a welcome addition to your home bringing some green to the scene. A handblown glass sphere rests freely on a thick, concave carved fir base allowing it to be angled in any direction. Plants, rocks and soil are not included. Measures 21.59 cm dia x 26.7 cm h / 8.5 in dia x 10.5 in h",0,0,0,109,0,N,,1,1,1,1,Y,Y,,N,0,0,03/07/2015,14/12/2015,"Category Name: Garden, Category Path: Garden|Category Name: Shop All, Category Path: Shop All","Product Image File: roundterrariumlarge.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/roundterrariumlarge.jpg|Product Image File: roundterrariumlarge2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/roundterrariumlarge2.jpg",,,,New,/orbit-terrarium-large/,,,
81,P,OTS,[Sample] Orbit Terrarium - Small,,"This strikingly beautiful terrarium will make a welcome addition to your home bringing some green to the scene. A handblown glass sphere rests freely on a thick, concave carved fir base allowing it to be angled in any direction. Plants, rocks and soil are not included. Measures 16.5 cm dia x 17.8 cm h / 6.5 in dia x 7 in h",0,0,0,89,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,14/12/2015,"Category Name: Garden, Category Path: Garden|Category Name: Shop All, Category Path: Shop All","Product Image File: roundterrariumsmall.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/roundterrariumsmall.jpg|Product Image File: roundterrariumsmall2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/roundterrariumsmall2.jpg",,,,New,/orbit-terrarium-small/,,,
86,P,ABS,[Sample] Able Brewing System,,"Stemming from an intense passion for the most flavourful cup of coffee, Able Brewing set out to create a brewer that was as aesthetically pleasing as it was functional. They imagined a product that would easily find itself at home in your kitchen during your morning routine. A product that would successfully showcase the Kone filter that they had painstakingly perfected. Inspired by Japanese and Mid-Century design, the resulting brewer elegantly serves pour over coffee. The multi-part design allows the top brewer portion to be removed once brewing is complete leaving a single pot server. The all ceramic exterior is dishwasher safe. Made in the USA Measures 20.3 x 15.2 cm / 8 in x 6 in Capacity 946 ml / 32 oz.",0,0,0,225,0,Y,,1,10,10,10,Y,Y,,N,0,0,03/07/2015,21/08/2015,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All","Product Image File: ablebrewingsystem4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/ablebrewingsystem4.jpg|Product Image File: ablebrewingsystem5.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/ablebrewingsystem5.jpg|Product Image File: ablebrewingsystem3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/ablebrewingsystem3.jpg|Product Image File: ablebrewingsystem2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/ablebrewingsystem2.jpg|Product Image File: ablebrewingsystem1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/ablebrewingsystem1.jpg",,,,New,/able-brewing-system/,,,
88,P,CC3C,[Sample] Chemex Coffeemaker 3 Cup,,"The Chemex Coffeemaker was created in 1939 by famed inventor Peter J. Schlumbohm. Applying his knowledge of filtration and extraction, Mr. Schlumbohm was able to craft the vessel that would pour the perfect cup of joe. The angles of the drip, thickness of the filter paper and the air vent chamber allow coffee to brew in a specified time and release gases that are usually trapped in by other brewing methods. This results in a smooth, bitter-free cup in less than four minutes. Made of labratory heatproof borosilicate glass with a simple wooden handle, the Chemex coffeemaker's design has been inducted in to the permanent collection of The Museum of Modern Art. Measures 21 cm h x 7.6 cm dia/8.25 in h x 3 in dia Capacity 473 ml/1 Pint",0,0,0,49.5,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,03/07/2015,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All","Product Image File: 3cupchemex5.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/3cupchemex5.jpg|Product Image File: chemex3cupfilters1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/chemex3cupfilters1.jpg|Product Image File: 3cupchemex2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/3cupchemex2.jpg|Product Image File: 3cupchemex1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/3cupchemex1.jpg|Product Image File: 3cupchemex4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/3cupchemex4.jpg",,,,New,/chemex-coffeemaker-3-cup/,,,
93,P,SLLPJ,[Sample] 1 L Le Parfait Jar,OFS,"When translated Le Parfait means ""the perfect one"" - and that's just what this air-tight jar is. Designed for canning, these jars will ensure your harvest does not spoil, but is kept well-preserved for those cold winter months that lie ahead. Also can be used to store grains, beans and spices. Lid easily removes for a thorough cleaning. May be frozen - just be sure to leave enough room for expansion. 1 L/34 fl oz",8,10,7,7,0,N,,1,0,0,0,Y,Y,,Y,0,0,03/07/2015,13/06/2019,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All","Product Image File: leparfaitmedium1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/leparfaitmedium1.jpg|Product Image File: leparfaitmedium4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/leparfaitmedium4.jpg|Product Image File: leparfaitmedium3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/leparfaitmedium3.jpg",,,,New,/1-l-le-parfait-jar/,,,
94,P,OCG,[Sample] Oak Cheese Grater,Sagaform,Crafted from oak and stainless steel this handy cheese grater is the perfect addition for the considered tabletop. Works wonderfully for grated parmesan: the fine stainless steel teeth grate the thing strings of cheese into the drawer below allowing guests to pinch as needed.  Measures 14 x 8.6 x 8.9 cm / 5.5 x 3.38 x 3.5 in,0,0,0,34.95,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,10/08/2015,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All","Product Image File: oakcheesegrater2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/oakcheesegrater2.jpg|Product Image File: oakcheesegrater3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/oakcheesegrater3.jpg|Product Image File: oakcheesegrater1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/oakcheesegrater1.jpg|Product Image File: oakcheesegrater4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/oakcheesegrater4.jpg",,,,New,/oak-cheese-grater/,,,
97,P,TWB,[Sample] Tiered Wire Basket,OFS,Here's a three tiered wire basket to clean up your countertop and elevate your storage space. Display a selection of fresh fruit to encourage healthy snacking: pile it high and watch it fly. Can also be used as a caddy for dinner time fixings. Gather up a nice display of baked buns or cupcakes and usher them off to the table with the handy carry ring at the top.  Measures 63 x 30 cm/25 x 12 in,0,0,0,119.95,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,21/08/2015,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All","Product Image File: tieredbasket.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/tieredbasket.jpg|Product Image File: tieredwirebasket3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/tieredwirebasket3.jpg|Product Image File: tieredwirebasket4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/tieredwirebasket4.jpg|Product Image File: tieredwirebasket2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/tieredwirebasket2.jpg",,,,New,/tiered-wire-basket/,,,
98,P,CGLD,[Sample] Laundry Detergent,Common Good,"A 100% biodegradable plant based 3x concentrated laundry detergent for use in conventional and high efficiency machines. This product is leaping bunny certified and has not been tested on animals.  Lavender Scented. Contains 48 High Efficiency Loads. Free from synthetic fragrance and phthalates, optical brighteners, dye, chlorine bleach and ammonia.  ingredients: purified water, decyl glucoside, caprylyl/capryl glucoside, coconut fatty acid, L-lactic acid, potassium hydroxide, protease enzyme, amylase enzyme, citric acid, lipase enzyme 950 ml/32 fl oz",0,0,0,29.95,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,03/07/2015,"Category Name: Utility, Category Path: Utility|Category Name: Shop All, Category Path: Shop All","Product Image File: CommonGoodLaundrySoap.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/CommonGoodLaundrySoap.jpg",,,,New,/laundry-detergent/,,,
104,P,OFSUC,[Sample] Utility Caddy,OFS,"This powder coated steel utility caddy ensures your cleaning essentials are stowed away in one spot ready for your household chores. Brushes, cloths, liquid soaps can all easily be stashed away. Also ideal to be used as a garden caddy to easily grab from the shed for a days work. Works well as a mop bucket too. The wood carrying handle ensures a comfortable grip when toting it from room to room.  Measures 19 h x 36 w x 20 dia cm/7.5 h x 14.1 w x 7.8 dia in",0,0,0,45.95,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,03/07/2015,"Category Name: Utility, Category Path: Utility|Category Name: Shop All, Category Path: Shop All","Product Image File: utilitybucket1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/utilitybucket1.jpg|Product Image File: utilitybucket2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/utilitybucket2.jpg|Product Image File: utilitybucket4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/utilitybucket4.jpg|Product Image File: utilitybucket3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/utilitybucket3.jpg|Product Image File: utilitybucket6.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/utilitybucket6.jpg",,,,New,/utility-caddy/,,,
107,P,DPB,[Sample] Dustpan & Brush,OFS,"A seemingly simple dustpan with a few features to make life easier. The arch and length of the dustpan eases cleanup, the wood turned handle provides firm grip and the rubber liner along the edge of the scoop will retrieve small crumbs with a single swipe. A key ring at the top makes storage a cinch - hang it off a broom closet hook when not in use. Dustpan Measures 45 cm/17.7 in",0,0,0,34.95,0,N,,1,0,0,0,Y,Y,,N,0,0,03/07/2015,03/07/2015,"Category Name: Utility, Category Path: Utility|Category Name: Shop All, Category Path: Shop All","Product Image File: dustpan1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan1.jpg|Product Image File: dustpan4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan4.jpg|Product Image File: dustpan3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan3.jpg|Product Image File: dustpan2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan2.jpg|Product Image File: dustpan5.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/dustpan5.jpg",,,,New,/dustpan-brush/,,,
111,P,SM13,[Sample] Smith Journal 13,,"Volume 13 of Smith Journal is crammed with more than its fair share of sharp minds. Top of the list would have to be Solomon Shereshevsky, who remembered every single thing he’d ever come across – a great skill to have when it came to party tricks, but enough to send him crackers. And then there’s Delbert Trew who spends more time than you can imagine thinking about something very sharp indeed: barbed wire. You can’t go past Samuel Morse, either, who was a famous portrait painter before he gave his name to the code he invented. What a genius! And we’re pretty taken with Noel Turner, who was smart enough to get around some pretty weird New Zealand laws to invent a car that, for a while, was a huge success. As well, you’ll find stories on a cross-dressing spy, a couple of Sydney nerds who revolutionised modern music, court illustration, big wheels, the dubious science of controlling the weather and a whole stack of other stuff. 143 Pages",0,0,0,25,0,N,,1,0,0,0,Y,Y,,Y,100,200,03/07/2015,27/12/2018,"Category Name: Publications, Category Path: Publications|Category Name: Shop All, Category Path: Shop All","Product Image File: smithjournal1.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal1.jpg|Product Image File: smithjournal5.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal5.jpg|Product Image File: smithjournal4.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal4.jpg|Product Image File: smithjournal3.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal3.jpg|Product Image File: smithjournal2.jpg, Product Image URL: http://enochlam.com/product_images/%%SAMPLE%%/stencil/smithjournal2.jpg",,,,New,/smith-journal-13/,,,
112,D,,rwerw,,Type a description for this product here...,0,0,0,14,0,N,,0,0,0,0,Y,Y,,N,0,0,14/03/2019,14/03/2019,"Category Name: Bath, Category Path: Bath",,,,,New,/rwerw/,,,
113,P,,test product 1,,Type a description for this product here...,0,0,0,12414,0,N,,4764,0,0,323,Y,Y,,N,0,0,27/03/2019,18/07/2019,"Category Name: Kitchen, Category Path: Kitchen|Category Name: Shop All, Category Path: Shop All",,,,,New,/test-product-1/,,,
114,P,,434,newbrand,Type a description for this product here...,0,0,0,323,0,N,,434,0,0,0,Y,Y,,Y,5,6,26/05/2019,18/07/2019,"Category Name: Bath, Category Path: Bath","Product Image File: IMG_3180__14522.jpg, Product Image URL: http://enochlam.com/product_images/u/461/IMG_3180__14522.jpg|Product Image File: IMG_2765__97628.jpg, Product Image URL: http://enochlam.com/product_images/q/834/IMG_2765__97628.jpg|Product Image File: IMG_2767__37413.jpg, Product Image URL: http://enochlam.com/product_images/k/611/IMG_2767__37413.jpg|Product Image File: IMG_2764__88726.jpg, Product Image URL: http://enochlam.com/product_images/w/494/IMG_2764__88726.jpg|Product Image File: IMG_2766__63250.jpg, Product Image URL: http://enochlam.com/product_images/y/046/IMG_2766__63250.jpg",,,,New,/434/,,,
115,P,,v2<>v3 Test,,Type a description for this product here...,0,0,0,100,0,N,,12,0,0,0,Y,Y,,Y,20,0,16/07/2019,09/09/2019,"Category Name: Shop All, Category Path: Shop All",,,,,New,/v2-v3-test/,,,test=vsdgdsg;wea=gfdgd;asdsad=gdfgd
116,P,,hkhkkh;lk;,,Type a description for this product here...,0,0,0,1434535,0,N,,3,0,0,0,Y,Y,,Y,0,0,27/08/2019,17/09/2019,"Category Name: Shop All, Category Path: Shop All","Product Image File: Screen_Shot_2019-09-16_at_3.13.53_PM__88900.png, Product Image URL: http://enochlam.com/product_images/t/994/Screen_Shot_2019-09-16_at_3.13.53_PM__88900.png|Product Image File: Screen_Shot_2019-09-16_at_3.13.45_PM__11847.png, Product Image URL: http://enochlam.com/product_images/y/052/Screen_Shot_2019-09-16_at_3.13.45_PM__11847.png|Product Image File: Screen_Shot_2019-09-16_at_3.13.43_PM__75785.png, Product Image URL: http://enochlam.com/product_images/h/237/Screen_Shot_2019-09-16_at_3.13.43_PM__75785.png|Product Image File: Screen_Shot_2019-09-16_at_3.13.43_PM_2__41141.png, Product Image URL: http://enochlam.com/product_images/n/714/Screen_Shot_2019-09-16_at_3.13.43_PM_2__41141.png",,,,New,/hkhkkh-lk/,,,
117,P,,Burney's Test Shirt,,Type a description for this product here...,0,0,0,100,0,N,,6,0,0,0,Y,Y,,N,0,0,17/09/2019,12/12/2019,"Category Name: Clothing, Category Path: Clothing","Product Image File: 10_source_1519421165__83671.jpg, Product Image URL: http://enochlam.com/product_images/r/825/10_source_1519421165__83671.jpg|Product Image File: 12_source_1519421176__95641.jpg, Product Image URL: http://enochlam.com/product_images/f/293/12_source_1519421176__95641.jpg",,,,New,/burneys-test-shirt/,,,
118,P,,T-shirt,,Type a description for this product here...,0,0,0,12,0,N,,0,0,0,0,Y,Y,,N,0,0,27/01/2020,27/01/2020,"Category Name: Clothing, Category Path: Clothing",,,,,New,/t-shirt/,,,
119,P,,T-Shirt 2,,Type a description for this product here...,0,0,0,4234,0,N,,3,0,0,0,Y,Y,,N,0,0,27/01/2020,10/02/2020,"Category Name: Clothing, Category Path: Clothing",,,,,New,/t-shirt-2/,,,